ID,Character,Alias,Powers,Real-name,Alignment,Base-of-operations,Occupation,First-appearance,URL,Image
green-lantern,Green Lantern,"Parallax, the Spectre, Pol Manning","hard light constructs, instant weaponry, force fields, flight, durability, alien technology","Harold ""Hal"" Jordan",superhero,"
Coast City",a test pilot,ALL-AMERICAN COMICS #16 (1940),https://www.dccomics.com/characters/green-lantern,dc11.jpg
the-flash,The Flash,"Scarlet Speedster, The Fastest Man Alive","super speed, intangibility, superhuman agility","Bartholomew Henry ""Barry"" Allen",superhero,Central City,a forensic scientist,FLASH COMICS #1 (1940),https://www.dccomics.com/characters/the-flash,dc12.jpg
reverse-flash,Reverse-Flash,"Professor Zoom, Zoom, Black Flash","super speed, intangibility, durability, time travel, intelligence, superhuman agility",Eobard Thawne,supervillain,"
Central City",a Speed Force professor,THE FLASH #139 (1963),https://www.dccomics.com/characters/reverse-flash,dc13.jpg
aquaman,Aquaman,"King Arthur, Orin","super strength, durability, control over sea life, exceptional swimming ability, ability to breathe underwater","
Arthur Curry",superhero,Atlantis and Amnesty Bay,the King of Atlantis,MORE FUN COMICS #73 (1941),https://www.dccomics.com/characters/aquaman,dc14.jpg
black-manta,Black Manta,"Yellow Lantern, Fisher King","exceptional martial artist, exceptional swimming ability, energy blasts",David,supervillain,Atlantis and Amnesty Bay,a treasure hunter,AQUAMAN #35 (1967),https://www.dccomics.com/characters/black-manta,dc15.jpg
nightwing,Nightwing,"Agent 37, Batman, Birdwatcher","exceptional martial artist, combat strategy, advanced technology, brilliant deductive skills, gymnastic ability","Richard John ""Dick"" Grayson",superhero,Gotham,a former acrobat,TALES OF THE TEEN TITANS #43 (1984),https://www.dccomics.com/characters/nightwing,dc16.jpg
cyborg,Cyborg,N/A,"
super strength, advanced technology, instant weaponry, genius-level intellect, control over technology, computer hacking, durability, teleportation","Victor ""Vic"" Stone",superhero,Justice League Watchtower,a former student,DC COMICS PRESENTS #26 (1980),https://www.dccomics.com/characters/cyborg,dc17.jpg
supergirl,Supergirl,N/A,"super strength, flight, invulnerability, super speed, heat vision, freeze breath, x-ray vision, superhuman hearing, healing factor",Kara Zor-El,superhero,National City,"a student, adventurer, formerly D.E.O agent, and formerly barista",ACTION COMICS #252 (1959),https://www.dccomics.com/characters/supergirl,dc18.jpg
shazam,Shazam!,Captain Marvel,"super strength, flight, invulnerability, super speed, superhuman hearing, healing factor, intelligence, magic","William ""Billy"" Batson",superhero,Philadelphia,the God of Gods,WHIZ COMICS #2 (1940),https://www.dccomics.com/characters/shazam,dc19.jpg
martian-manhunter,Martian Manhunter,"Mister Biscuits, The Pearl, Mould","flight, super strength, invulnerability, enhanced speed, shapeshifting, invisibility, telepathy, telekinesis, intelligence, intangibility, optic blasts",J'onn J'onzz,superhero,Earth and formerly Mars,a hunter,DETECTIVE COMICS #225 (1955),https://www.dccomics.com/characters/martian-manhunter,dc20.jpg
